title,artist,album,release_date,url,image_url,year,genre,mood
Shri Venkatesh Suprabhatam,Pooja Gopalan,Telugu Bhakthi Songs,2025-01-22,https://open.spotify.com/track/1KnlnPj3hCokhtYZbNUYG6,https://i.scdn.co/image/ab67616d0000b273c62f67e9ec747dc1cc82045f,2025,Romantic,Happy
"Bujjamma (From ""Retro"")",Santhosh Narayanan,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/1m42nlXkyJ6kVx0MtnVtxp,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
Sri Shiranapalli yandhu,Vakulabaranam Keshavanath,Telugu Keerthanalu (Vol-02),2025-04-28,https://open.spotify.com/track/02k8LmInuM635MH3MDdBPr,https://i.scdn.co/image/ab67616d0000b273207d355bdfb6326e456686a2,2025,Romantic,Happy
"Sei Un Angelo (From ""Radhe Shyam"")",Justin Prabhakaran,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/5TSDoXnjiu2iZfc8uwskld,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
Emotional Connect,D. Imman,Eleven (Telugu),2025-06-27,https://open.spotify.com/track/7LolV4Ncs1RRztHZk85dDX,https://i.scdn.co/image/ab67616d0000b273fd1b3111e66c736f0518b7ca,2025,Romantic,Happy
Ayithey Meere Cm,Allu Arjun,Pushpa 2 The Rule (DIALOGUES) [TELUGU],2025-02-02,https://open.spotify.com/track/0rY4Fx44fd1JYAELdLEjzn,https://i.scdn.co/image/ab67616d0000b27326ba445608654a44906ac254,2025,Romantic,Happy
Welcome To Jammy's Revenge (DIALOGUES) [TELUGU],Ajith Kumar,Good Bad Ugly (DIALOGUES) [TELUGU],2025-05-18,https://open.spotify.com/track/0aqubvvP6h5HuBR8T7Ljhu,https://i.scdn.co/image/ab67616d0000b273daf88e193fd79e48bb5de12e,2025,Romantic,Happy
You Are Not There (DIALOGUES) [TELUGU],Karthikeya Dev,Good Bad Ugly (DIALOGUES) [TELUGU],2025-05-18,https://open.spotify.com/track/69ZAjKKdx5Yuy0PZymMvoZ,https://i.scdn.co/image/ab67616d0000b273daf88e193fd79e48bb5de12e,2025,Romantic,Happy
Pushpa Gaadi Roolu,Allu Arjun,Pushpa 2 The Rule (DIALOGUES) [TELUGU],2025-02-02,https://open.spotify.com/track/3EKH4VyO1kuK635tutoN3W,https://i.scdn.co/image/ab67616d0000b27326ba445608654a44906ac254,2025,Romantic,Happy
Beat Jagratha! Telugu Gully Anthem,DhamDhammaBeats,Beat Jagratha! Telugu Gully Anthem,2025-07-14,https://open.spotify.com/track/6pcm5KEfy0vSlGKHm6rltY,https://i.scdn.co/image/ab67616d0000b27391f156560613bcfdb1a0e64f,2025,Romantic,Happy
Niduraina Raade Telugu Song,Vishnu Gangareddy,Niduraina Raade Telugu Song,2025-07-11,https://open.spotify.com/track/4CM93aFfSYcmBeDnbuASVw,https://i.scdn.co/image/ab67616d0000b273122b3c22871ed9f638b253e4,2025,Romantic,Happy
Amma,Yuvan Shankar Raja,Aghathiyaa - Telugu (Original Motion Picture Soundtrack),2025-04-05,https://open.spotify.com/track/2hSHulygcGPgQVbPJ2S5D3,https://i.scdn.co/image/ab67616d0000b273168b3ca9c9d118c41d767f7b,2025,Romantic,Happy
Ye Theeruga Nanu,Uthara Unnikrishnan,Sri Rama Telugu Songs,2025-03-24,https://open.spotify.com/track/41ZSmk2WmVay3vFUAfm14V,https://i.scdn.co/image/ab67616d0000b273ab48459bd1c8bf06abd4857d,2025,Romantic,Happy
Arena,Yogi B,TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,https://open.spotify.com/track/2Zn1CQGOPESxkRDxRGQS6d,https://i.scdn.co/image/ab67616d0000b273b868ec09ffe02f40a5880ee5,2025,Romantic,Happy
⁠Hope - Remix,Kunal Merchant,TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,https://open.spotify.com/track/7uOyHvGKP3TKtWuMqD0pUd,https://i.scdn.co/image/ab67616d0000b273b868ec09ffe02f40a5880ee5,2025,Romantic,Happy
Dhoni Anna Gnanay Nadichey,Yuvan Shankar Raja,Aghathiyaa - Telugu (Original Motion Picture Soundtrack),2025-04-05,https://open.spotify.com/track/6EGuFRbFMrMUtFdrsTjsli,https://i.scdn.co/image/ab67616d0000b273168b3ca9c9d118c41d767f7b,2025,Romantic,Happy
"Telisi Telisi (From ""Chaurya Paatam"")",Davzand,Chaurya Paatam - Telugu (Original Motion Picture Soundtrack),2025-06-12,https://open.spotify.com/track/5hEb9M7dduMsoYCd5PoUkW,https://i.scdn.co/image/ab67616d0000b273d3bddba62af1ac5df93e63c0,2025,Romantic,Happy
Kalaganna - Telugu,Kishan D'Souza,Kalaganna (Telugu),2025-04-18,https://open.spotify.com/track/10P6RoGdAk26jjKxiaJsYs,https://i.scdn.co/image/ab67616d0000b273b88aef44712bbe5f9bce75c4,2025,Romantic,Happy
LABOUR ( Telugu ),K. S. Harisankar,LABOUR,2025-03-03,https://open.spotify.com/track/0ArcDdotDSIR1py8VgWDrX,https://i.scdn.co/image/ab67616d0000b2735b08058ec29e5f68c2d5a4f2,2025,Romantic,Happy
